Date,Open,High,Low,Close,Adj Close,Volume
2018-02-21,1.399913,1.400953,1.391072,1.400109,1.400109,0
2018-02-22,1.391014,1.395206,1.385809,1.391014,1.391014,0
2018-02-23,1.395128,1.400482,1.392506,1.395303,1.395303,0
2018-02-26,1.396921,1.407261,1.393340,1.396804,1.396804,0
2018-02-27,1.396453,1.399443,1.386174,1.396648,1.396648,0
2018-02-28,1.390337,1.391595,1.377771,1.390608,1.390608,0
2018-03-01,1.375308,1.377714,1.371535,1.375421,1.375421,0
2018-03-02,1.377467,1.381578,1.375932,1.377543,1.377543,0
2018-03-05,1.379881,1.387732,1.376917,1.379501,1.379501,0
2018-03-06,1.385003,1.392835,1.382055,1.385233,1.385233,0
2018-03-07,1.390028,1.391014,1.384869,1.390009,1.390009,0
2018-03-08,1.390627,1.391208,1.381464,1.390627,1.390627,0
2018-03-09,1.380319,1.388657,1.378930,1.380567,1.380567,0
2018-03-12,1.385809,1.390627,1.384390,1.385540,1.385540,0
2018-03-13,1.390821,1.398797,1.387578,1.390763,1.390763,0
2018-03-14,1.397253,1.399776,1.392699,1.397233,1.397233,0
2018-03-15,1.397077,1.398797,1.392447,1.397155,1.397155,0
2018-03-16,1.393787,1.398015,1.389256,1.393864,1.393864,0
2018-03-19,1.394350,1.408748,1.391401,1.394350,1.394350,0
2018-03-20,1.402328,1.406865,1.398543,1.402525,1.402525,0
2018-03-21,1.400403,1.407895,1.400364,1.400482,1.400482,0
2018-03-22,1.414427,1.419950,1.407955,1.414627,1.414627,0
2018-03-23,1.411293,1.417093,1.408808,1.411472,1.411472,0
2018-03-26,1.414627,1.424501,1.414627,1.414767,1.414767,0
2018-03-27,1.423670,1.424299,1.406905,1.423893,1.423893,0
2018-03-28,1.417575,1.420455,1.409344,1.417635,1.417635,0
2018-03-29,1.408451,1.409642,1.402092,1.408034,1.408034,0
2018-03-30,1.402859,1.406173,1.401444,1.402938,1.402938,0
2018-04-02,1.403588,1.407737,1.402761,1.403824,1.403824,0
2018-04-03,1.405086,1.408848,1.402328,1.404672,1.404672,0
2018-04-04,1.407123,1.409841,1.401738,1.406865,1.406865,0
2018-04-05,1.408788,1.409602,1.396765,1.408808,1.408808,0
2018-04-06,1.400776,1.410258,1.398406,1.400874,1.400874,0
2018-04-09,1.409086,1.416431,1.408133,1.409165,1.409165,0
2018-04-10,1.413388,1.418762,1.412230,1.413827,1.413827,0
2018-04-11,1.418178,1.422273,1.416230,1.418218,1.418218,0
2018-04-12,1.418782,1.424664,1.414707,1.418903,1.418903,0
2018-04-13,1.423954,1.429592,1.422313,1.423812,1.423812,0
2018-04-16,1.424644,1.433692,1.423832,1.424684,1.424684,0
2018-04-17,1.434185,1.437711,1.429409,1.434206,1.434206,0
2018-04-18,1.429756,1.431639,1.417475,1.429654,1.429654,0
2018-04-19,1.420313,1.424704,1.416671,1.420434,1.420434,0
2018-04-20,1.408431,1.408848,1.400894,1.408649,1.408649,0
2018-04-23,1.400344,1.404297,1.393884,1.400168,1.400168,0
2018-04-24,1.393845,1.398191,1.391982,1.393825,1.393825,0
2018-04-25,1.399208,1.399208,1.392719,1.399384,1.399384,0
2018-04-26,1.393592,1.399619,1.389603,1.393922,1.393922,0
2018-04-27,1.391711,1.393534,1.375024,1.391943,1.391943,0
2018-04-30,1.376993,1.379310,1.371667,1.377107,1.377107,0
2018-05-01,1.377221,1.377600,1.359102,1.377221,1.377221,0
2018-05-02,1.361063,1.366475,1.358253,1.360933,1.360933,0
2018-05-03,1.357368,1.362899,1.354023,1.357386,1.357386,0
2018-05-04,1.357239,1.358696,1.349455,1.357239,1.357239,0
2018-05-07,1.353327,1.357589,1.351717,1.353198,1.353198,0
2018-05-08,1.356926,1.359120,1.348563,1.357036,1.357036,0
2018-05-09,1.355381,1.360600,1.350001,1.355344,1.355344,0
2018-05-10,1.354646,1.361767,1.346185,1.354463,1.354463,0
2018-05-11,1.352448,1.359619,1.350348,1.352338,1.352338,0
2018-05-14,1.355032,1.360729,1.354481,1.355381,1.355381,0
2018-05-15,1.356116,1.357405,1.345297,1.356245,1.356245,0
2018-05-16,1.350257,1.352155,1.345786,1.350020,1.350020,0
2018-05-17,1.355014,1.356926,1.347564,1.354830,1.354830,0
2018-05-18,1.351242,1.352814,1.345623,1.351534,1.351534,0
2018-05-21,1.347600,1.347600,1.339298,1.347709,1.347709,0
2018-05-22,1.343093,1.349091,1.341436,1.343183,1.343183,0
2018-05-23,1.344447,1.344447,1.330796,1.344104,1.344104,0
2018-05-24,1.337149,1.342246,1.335096,1.337131,1.337131,0
2018-05-25,1.338401,1.338509,1.330672,1.338348,1.338348,0
2018-05-28,1.330796,1.334757,1.329734,1.330902,1.330902,0
2018-05-29,1.331381,1.332623,1.320777,1.331558,1.331558,0
2018-05-30,1.325574,1.330849,1.324328,1.325381,1.325381,0
2018-05-31,1.328656,1.334935,1.327863,1.328356,1.328356,0
2018-06-01,1.328904,1.336184,1.325627,1.328939,1.328939,0
2018-06-04,1.335470,1.339944,1.329699,1.335648,1.335648,0
2018-06-05,1.331806,1.339244,1.330336,1.331647,1.331647,0
2018-06-06,1.340698,1.344447,1.339998,1.340608,1.340608,0
2018-06-07,1.342462,1.347346,1.337506,1.342156,1.342156,0
2018-06-08,1.341562,1.343634,1.335773,1.341922,1.341922,0
2018-06-11,1.341112,1.344050,1.334579,1.341382,1.341382,0
2018-06-12,1.337149,1.342282,1.334739,1.337435,1.337435,0
2018-06-13,1.337453,1.338151,1.331398,1.337256,1.337256,0
2018-06-14,1.338330,1.344556,1.330743,1.338276,1.338276,0
2018-06-15,1.325522,1.329787,1.321336,1.325662,1.325662,0
2018-06-18,1.327492,1.327669,1.322821,1.327510,1.327510,0
2018-06-19,1.325557,1.327492,1.315184,1.325873,1.325873,0
2018-06-20,1.317402,1.321598,1.314994,1.317332,1.317332,0
2018-06-21,1.317297,1.327017,1.310324,1.317523,1.317523,0
2018-06-22,1.324854,1.331558,1.324644,1.324784,1.324784,0
2018-06-25,1.326277,1.329080,1.322279,1.326242,1.326242,0
2018-06-26,1.327863,1.329434,1.321353,1.327845,1.327845,0
2018-06-27,1.322017,1.323434,1.312784,1.322104,1.322104,0
2018-06-28,1.311957,1.312164,1.305193,1.312043,1.312043,0
2018-06-29,1.307754,1.320830,1.307053,1.307514,1.307514,0
2018-07-02,1.320830,1.320830,1.309638,1.320777,1.320777,0
2018-07-03,1.314078,1.320830,1.311785,1.314406,1.314406,0
2018-07-04,1.319435,1.322751,1.317263,1.319435,1.319435,0
2018-07-05,1.322926,1.327351,1.320620,1.322926,1.322926,0
2018-07-06,1.322297,1.328004,1.320463,1.322576,1.322576,0
2018-07-09,1.329434,1.336005,1.321039,1.329787,1.329787,0
2018-07-10,1.325557,1.330141,1.322716,1.325557,1.325557,0
2018-07-11,1.325996,1.328374,1.323136,1.325732,1.325732,0
2018-07-12,1.320690,1.324293,1.318218,1.321004,1.321004,0
2018-07-13,1.317836,1.321999,1.310358,1.318044,1.318044,0
2018-07-16,1.322926,1.329275,1.322401,1.322769,1.322769,0
2018-07-17,1.323627,1.326964,1.314631,1.323644,1.323644,0
2018-07-18,1.310942,1.311992,1.301236,1.310616,1.310616,0
2018-07-19,1.307822,1.308387,1.295908,1.307822,1.307822,0
2018-07-20,1.302253,1.311475,1.299798,1.302304,1.302304,0
2018-07-23,1.314873,1.315789,1.309929,1.314717,1.314717,0
2018-07-24,1.310444,1.315789,1.307360,1.310273,1.310273,0
2018-07-25,1.315270,1.317714,1.313422,1.315218,1.315218,0
2018-07-26,1.319975,1.321266,1.311561,1.319958,1.319958,0
2018-07-27,1.310977,1.313025,1.308352,1.310874,1.310874,0
2018-07-30,1.311131,1.315270,1.309912,1.311183,1.311183,0
2018-07-31,1.313646,1.317523,1.309535,1.313543,1.313543,0
2018-08-01,1.311837,1.314579,1.309758,1.312164,1.312164,0
2018-08-02,1.312525,1.312853,1.301897,1.312612,1.312612,0
2018-08-03,1.301575,1.304308,1.297623,1.301812,1.301812,0
2018-08-06,1.300153,1.300728,1.292073,1.300356,1.300356,0
2018-08-07,1.294247,1.297353,1.293828,1.294498,1.294498,0
