,Date,Difference
1,2018-02-22,-0.3000796513649959
2,2018-02-23,1.5227927928300176
3,2018-02-26,2.033874159315019
4,2018-02-27,-0.6273508673100139
5,2018-02-28,-1.273885013530986
6,2018-03-01,-1.3472582695020208
7,2018-03-05,-1.390470955082975
8,2018-03-06,-1.2406498516690192
9,2018-03-07,-1.1880827948550348
10,2018-03-08,1.352863320165028
11,2018-03-09,-0.7241519822430007
12,2018-03-12,3.3015256755959967
13,2018-03-13,0.13601406071902034
14,2018-03-14,0.0355082517929759
15,2018-03-15,-0.8035390507820068
16,2018-03-16,-2.9729913164219965
17,2018-03-19,-1.6730799139709802
18,2018-03-20,0.11837300401501238
19,2018-03-21,0.42308124598497443
20,2018-03-22,-0.2263897499999814
21,2018-03-23,-2.01352239266501
22,2018-03-26,2.3794633066359836
23,2018-03-27,1.5968789297160129
24,2018-03-28,-1.5744062889320105
25,2018-04-02,1.011238700045027
26,2018-04-03,0.4279949951999811
27,2018-04-04,-1.2329751758630039
28,2018-04-05,2.8144990917890027
29,2018-04-06,0.41950725602703187
30,2018-04-09,0.6323682539099877
31,2018-04-10,0.43604432413698646
32,2018-04-11,0.09426657218199352
33,2018-04-12,-0.009253324242024519
34,2018-04-13,0.12708901194005762
35,2018-04-16,0.9210402929619761
36,2018-04-17,-0.2574925224620017
37,2018-04-18,-0.9544096113100125
38,2018-04-19,-0.21819742312499102
39,2018-04-20,-0.27247344532000284
40,2018-04-23,0.1112278450449935
41,2018-04-24,-0.3906495712269873
42,2018-04-25,-0.3410631605580079
43,2018-04-26,-0.46713252835499475
44,2018-04-27,1.134861599609991
45,2018-04-30,1.401358194777032
46,2018-05-02,-0.7484959496520105
47,2018-05-03,-1.2691317012370291
48,2018-05-04,0.07214022097201678
49,2018-05-07,1.1052357499999914
50,2018-05-08,-0.7051047053049615
51,2018-05-09,0.24867490865995023
52,2018-05-10,-1.446119137209962
53,2018-05-11,1.8705984338549797
54,2018-05-14,0.023091297169003155
55,2018-05-15,-0.7726149745849966
56,2018-05-16,-2.712887833921002
57,2018-05-17,0.06567197647197531
58,2018-05-18,-1.4481418268189827
59,2018-05-21,-0.801595569671008
60,2018-05-22,-0.6646197177450119
61,2018-05-23,-1.6278580145829835
62,2018-05-24,0.7365484179860289
63,2018-05-25,2.2102059738469677
64,2018-05-28,2.4631584453559867
65,2018-05-29,-0.07297576652595694
66,2018-05-30,-1.9582123460779997
67,2018-05-31,3.4196867376279556
68,2018-06-01,-0.6031576068749871
69,2018-06-04,0.19709430834501518
70,2018-06-05,-0.845988369408019
71,2018-06-06,1.2896554472630157
72,2018-06-07,1.872101121612019
73,2018-06-08,-1.3887216489820275
74,2018-06-11,0.04899968805000299
75,2018-06-12,0.8714094180180325
76,2018-06-13,-0.7935922851780219
77,2018-06-14,-0.40294354840500546
78,2018-06-15,-0.6797633607600062
79,2018-06-18,-0.07841345795498
80,2018-06-19,-1.2173303369750101
81,2018-06-20,0.8088122171949976
82,2018-06-21,-1.142243505195978
83,2018-06-22,2.393500406207977
84,2018-06-25,-0.9403002617719949
85,2018-06-26,-1.021250852212006
86,2018-06-27,-1.4944041523460214
87,2018-06-28,-3.152207866369963
88,2018-06-29,2.804696312693011
89,2018-07-02,-0.018597214820005092
90,2018-07-03,0.03398524112697032
91,2018-07-04,0.7174327890519976
92,2018-07-05,-0.6367570308389929
93,2018-07-06,0.127306610897989
94,2018-07-09,1.8781509258060112
95,2018-07-10,1.6021129632960083
96,2018-07-11,-0.5430728802299711
97,2018-07-12,1.5059858678699811
98,2018-07-13,0.35614746704999334
99,2018-07-16,-1.0768155636810093
100,2018-07-17,0.5001996213510154
101,2018-07-18,0.4438651402949745
102,2018-07-19,-0.9442362010889838
103,2018-07-20,0.025194327103974956
104,2018-07-23,1.5580637213300292
105,2018-07-24,-0.3702612679449828
106,2018-07-25,0.8795895179449928
107,2018-07-26,0.4348409674300058
108,2018-07-27,1.8612331443019912
109,2018-07-30,0.8936887463380003
110,2018-07-31,0.368164641930008
111,2018-08-01,0.3038931468049668
112,2018-08-02,-1.020765792004994
113,2018-08-03,0.9498855032700249
114,2018-08-06,0.6451966345030087
115,2018-08-07,-0.6946133086380257
116,2018-08-08,1.3952203160650072
117,2018-08-09,0.6458884485599867
118,2018-08-10,-2.1562644485599947
119,2018-08-13,-1.0332427499999994
120,2018-08-14,-0.8982972397359958
121,2018-08-16,-2.3549591699039922
122,2018-08-17,2.7384389096399957
123,2018-08-20,1.6769137500000113
124,2018-08-21,0.3785632065489608
125,2018-08-23,0.05408404345101303
126,2018-08-24,-1.51169731393
127,2018-08-27,3.134886659059987
128,2018-08-28,0.23292040487001486
129,2018-08-29,-2.0809545571840147
130,2018-08-30,-1.078149092705985
131,2018-08-31,-1.0808283501099822
132,2018-09-03,-0.4480082572349886
133,2018-09-04,-1.0352556866100144
134,2018-09-05,-2.1478836884400323
135,2018-09-06,0.5240295710950136
136,2018-09-07,0.6217892258990219
137,2018-09-10,-2.44219398827002
138,2018-09-11,-2.845229676439004
139,2018-09-12,-0.03364474290901853
140,2018-09-14,4.098034250289032
141,2018-09-17,-2.056269257379995
142,2018-09-18,-2.3298494596740227
143,2018-09-19,-1.8499555376419607
144,2018-09-21,1.727272595602983
145,2018-09-24,-3.5245794348920185
146,2018-09-25,-0.8504354030099819
147,2018-09-26,0.24486592162500642
148,2018-09-27,-0.38459951170000295
149,2018-09-28,-1.0188781472500352
150,2018-10-01,1.9918596375000277
151,2018-10-03,-3.6547914105599943
152,2018-10-04,-4.647235250000023
