,Date,Gold_Difference,CrudeOil_Difference,GBP/INR_Difference,FTSE100_Difference
1,2018-02-22,0.6000000000001364,1.0900000000000034,-0.008355981985999739,-106.81566767000004
2,2018-02-23,-2.400000000000091,0.779999999999994,0.0038319614239996636,19.970982769998955
3,2018-02-26,2.5,0.35999999999999943,0.00145230485100023,73.96749608999926
4,2018-02-27,-17.299999999999955,-0.8999999999999986,-6.764132900016762e-05,-11.095274719998997
5,2018-02-28,2.400000000000091,-1.3699999999999974,-0.006024563531999982,-114.26732631999948
6,2018-03-01,-12.700000000000045,-0.6499999999999986,-0.01531788324999983,494.2538860299992
7,2018-03-05,14.700000000000045,1.5799999999999983,0.005369902655999903,-201.03742961999887
8,2018-03-07,7.699999999999818,-1.4200000000000017,0.009012382232999938,204.77308192000055
9,2018-03-08,-5.899999999999864,-1.0300000000000011,0.0004953115370001093,96.20981609000046
10,2018-03-09,2.2999999999999545,1.9200000000000017,-0.009770753222000161,-290.3481475000008
11,2018-03-12,-3.2000000000000455,-0.6799999999999997,0.00517393905900021,-575.3515568000003
12,2018-03-13,6.2999999999999545,-0.6499999999999986,0.005069521188999948,143.0995377399995
13,2018-03-14,-1.5,0.25,0.006217568353999781,37.67875762999938
14,2018-03-15,-7.7999999999999545,0.22999999999999687,0.00011197869600021448,9.321536030000061
15,2018-03-16,-5.5,1.1500000000000057,-0.0034813786079999076,10.48545416000161
16,2018-03-19,5.5,-0.28000000000000114,0.0007417725000000708,-165.52739146000022
17,2018-03-20,-5.899999999999864,1.3399999999999963,0.008263423261999803,83.29826125
18,2018-03-21,9.599999999999909,1.7700000000000031,-0.002204899670000149,-45.65692321000097
19,2018-03-22,11.700000000000045,-0.8700000000000045,0.014105542932000281,-22.629249609999533
20,2018-03-23,22.5,1.5799999999999983,-0.00306829330300018,-65.19703825000033
21,2018-03-26,5.2000000000000455,-0.3299999999999983,0.0039112190410000025,-24.233210450000115
22,2018-03-27,-13.0,-0.29999999999999716,0.008430595914000083,221.5590597900009
23,2018-03-28,-17.90000000000009,-0.8700000000000045,-0.006100732504999984,19.419644879999396
24,2018-03-29,-2.7000000000000455,0.5600000000000023,-0.009817584711000027,-50.923185160001594
25,2018-04-04,12.900000000000091,-1.5700000000000003,-0.0014440751049999978,-40.04432608999741
26,2018-04-05,-11.700000000000045,0.1700000000000017,0.0023296924070002056,764.7448904699995
27,2018-04-06,7.599999999999909,-1.4799999999999969,-0.008061614000000272,183.92451833999803
28,2018-04-09,4.0,1.3599999999999994,0.008412801221000077,-335.2166005599993
29,2018-04-10,5.800000000000182,2.0900000000000034,0.004122831533999838,-21.105899719999798
30,2018-04-12,-4.0,1.559999999999988,0.00512048192499992,-523.634154899999
31,2018-04-13,6.0,0.3200000000000074,0.0052593340000002264,378.75247044000025
32,2018-04-16,2.7999999999999545,-1.1700000000000017,0.0006295426439999474,-88.20733392000147
33,2018-04-17,-1.2000000000000455,0.29999999999999716,0.010193671960000206,108.48389750000206
34,2018-04-18,4.0,1.9500000000000028,-0.004803591284000097,97.62013405999824
35,2018-04-19,-4.7000000000000455,-0.1799999999999926,-0.009092718149000145,-51.0172490799996
36,2018-04-20,-10.5,0.10999999999999943,-0.012126969851000036,-31.081848949999767
37,2018-04-23,-14.299999999999955,0.23999999999999488,-0.007569877317999962,-19.504292170000554
38,2018-04-24,9.0,-0.9399999999999977,-0.006949821735999784,-9.952855159999672
39,2018-04-25,-10.200000000000045,0.3499999999999943,0.005779008224999771,-23.205816120000236
40,2018-04-26,-4.899999999999864,0.14000000000000057,-0.005938494333000088,18.39220958000078
41,2018-04-27,5.5,-0.09000000000000341,-0.0020258588379999942,97.75414556999931
42,2018-04-30,-4.2000000000000455,0.46999999999999886,-0.013585683986999886,-101.53909892999945
43,2018-05-01,-12.400000000000091,-1.3199999999999932,-0.0011952921109998904,296.8483975199997
44,2018-05-02,-1.2000000000000455,0.6800000000000068,-0.016071811821000148,-655.5416562800019
45,2018-05-03,7.100000000000136,0.5,-0.003313228080999764,-323.2847080599986
46,2018-05-04,2.0,1.289999999999992,-0.00045749500100011886,112.31055222000032
47,2018-05-07,-0.6000000000001364,1.0100000000000051,-0.003449158030999877,517.2199170599997
48,2018-05-09,-1.099999999999909,0.4099999999999966,0.0017448419209997734,-281.77784923999934
49,2018-05-10,9.299999999999955,0.21999999999999886,-0.0001404217329998847,-94.19260430000031
50,2018-05-11,-1.599999999999909,-0.6599999999999966,-0.0031495781560000324,-305.8988661000003
51,2018-05-14,-2.5,0.2599999999999909,0.0026161756820000104,844.5230054599997
52,2018-05-15,-27.90000000000009,0.3500000000000085,0.0017358245419998308,22.93722671999967
53,2018-05-16,1.2000000000000455,0.1799999999999926,-0.005901721402999716,-32.92832610000005
54,2018-05-17,-2.099999999999909,0.0,0.0038367441000000113,110.05071110000063
55,2018-05-18,1.8999999999998636,-0.20999999999999375,-0.003078507921000062,-38.0762312400002
56,2018-05-21,-0.3999999999998636,0.9599999999999937,-0.0035887338669999824,78.57497767000132
57,2018-05-22,6.5,-0.03999999999999204,-0.004301011653000231,-11.017218180000782
58,2018-05-23,-2.6000000000001364,-0.35999999999999943,0.00018975235899998388,-112.38356559000022
59,2018-05-24,15.0,-1.1300000000000097,-0.005685981539999663,-150.18108482000025
60,2018-05-25,-0.7999999999999545,-2.8299999999999983,0.0005321246509997213,27.512504500000432
61,2018-05-29,-4.900000000000091,-1.1499999999999915,-0.007161066457999965,-182.5019243200004
62,2018-05-30,2.400000000000091,1.4799999999999898,-0.0057809467800000736,28.307123049999063
